flightId,originName,destinationName,classTypeName,statusName,airlineName,airlineCode,flightNumber,leaveDateTime,arrivalDateTime,priceChild,priceAdult,priceInfant,isCharter,isAdditionalServices,stars,maxAllowedBaggage,terminal,hasTripInsurance,hasFreeCancelation,hasReissue
FD:THR:AWZ:240427:1000:V:4013ET:10000000,تهران,اهواز,اکونومی,کنسل شده,زاگرس,ZV,4013,2024-04-27T10:00:00,2024-04-27T11:15:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 1,False,False,False
FD:THR:AWZ:240427:1700:V:4021EYV:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,زاگرس,ZV,4021,2024-04-27T17:00:00,2024-04-27T18:15:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 1,False,False,False
FD:THR:AWZ:240427:0525:W:5852EL:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,وارش,VR,5852,2024-04-27T05:25:00,2024-04-27T06:45:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 1,False,False,False
FD:THR:AWZ:240427:1650:H:5625EGH:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,آتا,I3,5625,2024-04-27T16:50:00,2024-04-27T17:50:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 2,False,False,False
FD:THR:AWZ:240427:2040:H:5635EGH:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,آتا,I3,5635,2024-04-27T20:40:00,2024-04-27T21:40:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 2,False,False,False
FD:THR:AWZ:240427:0530:H:5695EGH:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,آتا,I3,5695,2024-04-27T05:30:00,2024-04-27T06:30:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 2,False,False,False
FD:THR:AWZ:240427:0930:H:5673EGH:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,آتا,I3,5673,2024-04-27T09:30:00,2024-04-27T10:30:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 2,False,False,False
FD:THR:AWZ:240427:1800:Y:7426EGB:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,فلای پرشیا,FP,7426,2024-04-27T18:00:00,2024-04-27T19:10:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 4,False,False,False
FD:THR:AWZ:240427:1155:3:8756BC:10000000,تهران,اهواز,بیزینس,کنسل شده,چابهار,RI,8756,2024-04-27T11:55:00,2024-04-27T13:00:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 1,False,False,False
FD:THR:AWZ:240427:2020:3:8792EH:10000000,تهران,اهواز,اکونومی,تکمیل ظرفیت,چابهار,RI,8792,2024-04-27T20:20:00,2024-04-27T21:35:00,0,100000000,0,False,False,3,20,فرودگاه مهرآباد - ترمینال 1,False,False,False
