id,name,type,province,city,lat,long,region,placeType,buildingSize,bedrooms,bathrooms,iranianToilets,toilets,reservation_type,reviewsCount,reviewsScore,baseCapacity,extraCapacity,mainPrice,discount,finalPrice
654260093e4468001bc3f47e,رزرو ویلا یک خوابه گلستان 13,villa,گیلان,آستارا,38.39459232812077,48.866335563361645,city,personalRoom,55.0,1.0,1.0,1.0,0.0,instant,17.0,4.5,2.0,2.0,6000000.0,0.0,6000000.0
63d9139f1c5605001bd51797,اجاره ویلا دوخوابه استخردار آبگرم  رضا نیکزاد,villa,مازندران,محمودآباد,36.60673472405783,52.3224963247776,coastal,personalRoom,200.0,3.0,2.0,2.0,1.0,instant,43.0,4.5,4.0,6.0,20000000.0,0.0,20000000.0
6521baeb7bbd0d001bdc2679,رزرو ویلا دوخوابه استخردار آبگرم محسن 2 -,villa,مازندران,سرخرود,36.67099062137869,52.43971824645996,city,personalRoom,180.0,2.0,3.0,1.0,2.0,preApprove,46.0,4.3,4.0,2.0,18500000.0,0.0,18500000.0
62fc6fd60db335001c821702,اجاره ویلا دوخوابه جاتو,villa,مازندران,رامسر,36.89197336069298,50.67764539271593,city,personalRoom,80.0,2.0,1.0,1.0,1.0,instant,50.0,4.6,4.0,1.0,10000000.0,0.0,10000000.0
62c4c363cc604f001b980899,رزرو ویلا دوخوابه ساحلی فینیکس,villa,مازندران,محمودآباد,36.63889264298313,52.27653365582228,coastal,personalRoom,280.0,2.0,1.0,0.0,2.0,instant,59.0,4.3,4.0,1.0,8000000.0,0.0,8000000.0
649f465228be31001bfeaf3b,اجاره ویلا یک خوابه پاسداران 1,villa,گیلان,بندر انزلی,37.489702387962225,49.39687080681324,city,personalRoom,60.0,1.0,1.0,1.0,0.0,preApprove,125.0,4.5,3.0,1.0,5500000.0,0.0,5500000.0
65c29082b09962001bd2edb8,رزرو ویلا دوخوابه شهری منور,villa,مازندران,فریدون کنار,36.68577878973326,52.53239884811338,city,personalRoom,140.0,2.0,1.0,1.0,0.0,instant,3.0,4.0,4.0,2.0,15000000.0,0.0,15000000.0
647e29475baaf3001b0e510e,اجاره ویلا دوخوابه پاسداران,villa,گیلان,بندر انزلی,37.489686160184526,49.39681816846132,city,personalRoom,110.0,2.0,1.0,0.0,1.0,preApprove,88.0,4.9,5.0,2.0,14500000.0,0.0,14500000.0
6009ede9a51baa9aebd302dc,رزرو ویلا دوخوابه روستایی حیدری 1,villa,گیلان,ماسال,37.3033763566453,49.0354312793431,rustic,personalRoom,110.0,2.0,1.0,1.0,1.0,instant,29.0,4.2,4.0,2.0,5000000.0,0.0,5000000.0
648354c2418c8d001c0ca6d7,ویلا دوخوابه استخردار آبگرم سلیاکتی,villa,مازندران,نور,36.52126686888419,52.03731346875429,jungle,personalRoom,80.0,2.0,2.0,2.0,1.0,preApprove,17.0,4.6,4.0,4.0,20000000.0,0.0,20000000.0
603f2fdcb1aa7a001cf06ba5,رزرو ویلا دوخوابه استخردار آبگرم ارغوان 3,villa,البرز,کردان,35.824476,50.798438,rustic,personalRoom,140.0,2.0,2.0,1.0,2.0,instant,274.0,4.5,4.0,6.0,28000000.0,20.0,22400000.0
650c5abf15ab1d001b09bae8,اجاره ویلا دوخوابه استخردار آبگرم باغ گیلاس,villa,البرز,کردان,35.82844036387067,50.73546040803194,rustic,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,8.0,4.0,4.0,2.0,18000000.0,0.0,18000000.0
659e691d7a6e97001b2c5468,رزرو ویلا سه خوابه استخردار آبگرم راشالند,villa,البرز,چهارباغ,35.83885305734141,50.741258673369884,rustic,personalRoom,280.0,3.0,3.0,2.0,2.0,instant,9.0,4.4,6.0,2.0,70000000.0,50.0,35000000.0
6009e44e41a6ac867fe65fe1,اجاره ویلا سه خوابه استخردار آبگرم امیردل,villa,البرز,کردان,35.824476,50.798438,rustic,personalRoom,100.0,3.0,3.0,2.0,1.0,instant,245.0,4.4,4.0,8.0,30000000.0,20.0,24000000.0
60d9b5489905c6001b12d7ad,رزرو ویلا دوخوابه استخردار آبگرم ارغوان 2,villa,البرز,کردان,35.84303482006643,50.77776789665222,rustic,personalRoom,100.0,2.0,1.0,1.0,1.0,instant,418.0,4.5,4.0,4.0,29500000.0,0.0,29500000.0
6009e2b7a9a1a7838e79a9d5,اجاره ویلا دوخوابه استخردار آبگرم پارسا,villa,البرز,کردان,35.82449107648965,50.79788714647293,rustic,personalRoom,240.0,2.0,2.0,3.0,1.0,instant,478.0,4.6,4.0,6.0,24000000.0,0.0,24000000.0
65a31f390b68c3001b8b1519,رزرو ویلا دوخوابه گود هوم,villa,مازندران,تنکابن,36.82724348495107,50.86666099727154,coastal,personalRoom,120.0,2.0,2.0,1.0,1.0,instant,29.0,5.0,4.0,4.0,30000000.0,25.0,22500000.0
62388a6ab684c2001b7f598f,اجاره ویلا دوخوابه آرمین 1,villa,گیلان,لنگرود,37.18562555880133,50.10273970663547,rustic,personalRoom,75.0,2.0,1.0,1.0,0.0,instant,11.0,4.2,4.0,1.0,5500000.0,0.0,5500000.0
63e4acd2f7774c001cc1a450,رزرو ویلا یک خوابه لیماک,villa,مازندران,کتالم و سادات شهر,36.8382646710117,50.73990684002638,rustic,unitRoom,100.0,1.0,1.0,1.0,0.0,instant,9.0,4.6,3.0,1.0,6000000.0,15.0,5100000.0
641fef1c1eb107001bcfb656,اجاره ویلا سه خوابه باغ پاسداران,villa,گیلان,بندر انزلی,37.48960262697795,49.407623782753944,coastal,personalRoom,130.0,3.0,1.0,1.0,1.0,instant,24.0,4.9,4.0,4.0,13000000.0,0.0,13000000.0
65423ce5305376001b4ce4d4,رزرو ویلا یک خوابه ویلایی رویال,villa,هرمزگان,قشم,26.959901,56.262868,city,personalRoom,60.0,1.0,1.0,1.0,0.0,preApprove,4.0,4.5,2.0,2.0,10000000.0,0.0,10000000.0
622b8f05371a32001be800f6,اجاره ویلا دوخوابه ساحلی نجفی ۱,villa,مازندران,رامسر,36.94514401389249,50.64241088926792,coastal,personalRoom,80.0,2.0,1.0,1.0,1.0,instant,148.0,4.6,4.0,4.0,10000000.0,0.0,10000000.0
62388689e41e5b001c8a0ff8,رزرو ویلا دوخوابه آرمین 2,villa,گیلان,لنگرود,37.18528446071536,50.10314907878637,rustic,personalRoom,95.0,2.0,1.0,1.0,0.0,instant,55.0,4.2,4.0,2.0,6000000.0,0.0,6000000.0
6574888b27e799001b35c954,اجاره ویلا سه خوابه جنگلی بهار ۵,villa,مازندران,نوشهر,36.59060497064075,51.66994571685791,jungle,personalRoom,240.0,3.0,3.0,1.0,3.0,preApprove,11.0,4.7,6.0,2.0,25000000.0,0.0,25000000.0
635d011d4b0c77001b12e192,رزرو ویلا دوخوابه استخردار آبگرم رویایی 1,villa,مازندران,محمودآباد,36.59811658383386,52.293463088572025,rustic,personalRoom,160.0,2.0,2.0,1.0,1.0,instant,85.0,4.8,4.0,2.0,27000000.0,10.0,24300000.0
648852fa8ae68b001c1e03ae,اجاره ویلا یک خوابه قائم 6 شرقی,villa,مازندران,چالوس,36.662544261345104,51.43571745604277,city,personalRoom,90.0,1.0,1.0,1.0,0.0,preApprove,53.0,4.2,3.0,2.0,7000000.0,0.0,7000000.0
65a51af71320c1001b952d87,رزرو ویلا دوخوابه ساحلی سه گل,villa,مازندران,بابلسر,36.7060398147452,52.62815985828638,coastal,unitRoom,110.0,2.0,1.0,1.0,1.0,instant,26.0,4.2,6.0,4.0,5000000.0,15.0,4250000.0
62f025dd08d383001bbcf704,ویلا یک خوابه استخردار سرای پرنده,villa,مازندران,بابلسر,36.69775725357814,52.757009491324425,rustic,personalRoom,80.0,1.0,1.0,1.0,1.0,preApprove,7.0,4.6,4.0,1.0,17000000.0,5.0,16150000.0
6297b4ed8a6acd001b521e8c,رزرو ویلا دوخوابه آرامش سعید,villa,مازندران,کتالم و سادات شهر,36.872951581880734,50.72168122977019,city,personalRoom,118.0,2.0,1.0,1.0,1.0,preApprove,3.0,4.7,5.0,2.0,13000000.0,8.0,11960000.0
628cefae50082c001c57c36c,اجاره ویلا دوخوابه استخردار شرقی ۱۸,villa,مازندران,رامسر,36.926255028479545,50.66437315195799,city,personalRoom,150.0,2.0,1.0,1.0,1.0,instant,9.0,4.0,4.0,2.0,17000000.0,5.0,16150000.0
65ed70840a1cf5001b39a3e3,رزرو ویلا دوخوابه استخردار آبگرم ساحلی خانه دریا,villa,مازندران,سرخرود,36.662766680326605,52.413573414087296,coastal,personalRoom,280.0,2.0,2.0,1.0,1.0,preApprove,11.0,4.5,6.0,4.0,28000000.0,0.0,28000000.0
64c74706c3479e001bf59ac9,اجاره ویلا سه خوابه رضا نژاد,villa,مازندران,چالوس,36.66804242073904,51.39775548130274,city,personalRoom,100.0,3.0,1.0,1.0,0.0,instant,46.0,4.5,4.0,4.0,7000000.0,0.0,7000000.0
65bccea6818acd001bd88bc9,رزرو ویلا یک خوابه ساحلی یونا,villa,مازندران,محمودآباد,36.64325618240752,52.28982366621494,coastal,personalRoom,75.0,1.0,1.0,1.0,0.0,preApprove,9.0,4.6,2.0,2.0,7060000.0,0.0,7060000.0
65c726534d08d2001b970c01,اجاره ویلا یک خوابه دیرستان,villa,هرمزگان,قشم,26.740255977161823,55.935186110436916,rustic,personalRoom,25.0,0.0,1.0,1.0,0.0,instant,17.0,4.0,2.0,4.0,10000000.0,0.0,10000000.0
65d78adf73ee5b001b6b73c6,رزرو ویلا دوخوابه روستایی وزمتر,villa,گیلان,ماسال,37.435454800758635,49.09252658486366,rustic,personalRoom,70.0,2.0,1.0,1.0,1.0,preApprove,2.0,4.0,5.0,3.0,12000000.0,15.0,10200000.0
6416f0afe8edd1001cbad5e4,اجاره ویلا دوخوابه شاهمنصوری,villa,مازندران,تنکابن,36.77960952902727,50.81968545913697,rustic,personalRoom,120.0,2.0,1.0,1.0,1.0,instant,7.0,4.9,4.0,1.0,7500000.0,0.0,7500000.0
